,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HERVL_4q34.1c,12.020215447045,2.5521986382556,0.346180814862132,7.37244390412574,1.67528095048338e-13,3.04231020607782e-10
HERVFRD_Xq22.1,198.530706823625,-1.67163929985572,0.307124707030313,-5.442868195201,5.24294413261202e-08,4.76059327241171e-05
MER34B_6q14.2,19.6761342929202,1.4135429580725,0.264904835236233,5.33604060798644,9.4998134908805e-08,5.75055376647966e-05
ERV316A3_Xq26.1,51.8003938768482,1.06850746434782,0.226703587397222,4.71323580105341,2.43813780657086e-06,0.00110691456418317
HERVIP10F_2q21.2,52.3170527547436,1.32050808276893,0.286744851058585,4.60516754841096,4.12133902887776e-06,0.0012041744249617
ERV316A3_6p22.1o,17.0421359273522,-1.32383273376062,0.289023386456549,-4.58036545066791,4.64164150590962e-06,0.0012041744249617
MER101_6q27d,30.8162558082173,2.18042950082541,0.472561904204234,4.61406110273982,3.94876253129908e-06,0.0012041744249617
HERVP71A_6p22.1,13.333199956699,-1.81896590229818,0.401600318437503,-4.52929397410636,5.91811098111207e-06,0.00134341119271244
MER4B_1p36.33,97.4720622936265,1.04366641645876,0.232992310006842,4.47940284564803,7.48521496453438e-06,0.00142772846695753
ERV316A3_1p32.1a,28.8846639106783,1.99199499615276,0.445745215418989,4.46890942907898,7.86194089734322e-06,0.00142772846695753
HERV4_13q32.3,101.088601786661,-1.07751702046321,0.244051909968223,-4.41511406570639,1.00956742338077e-05,0.00166670403714498
ERVLB4_14q32.33a,3.74229983123233,4.13964850067327,0.954408912602343,4.33739505783311,1.44181336459111e-05,0.00218194422508122
HERVH_9q34.13,18.2919261194027,-1.38415760486197,0.322949070025392,-4.2859934687322,1.81924332363528e-05,0.00220249725048111
HARLEQUIN_17q25.3a,15.3552469065867,-2.32070864862151,0.540834368324399,-4.29097850384671,1.77887535803185e-05,0.00220249725048111
ERVLB4_19q13.42d,18.3661032720131,1.49993424150122,0.349270002359484,4.29448344080069,1.75100549393317e-05,0.00220249725048111
HERVH_12q13.2b,509.231423277296,1.64139345322573,0.392618663073288,4.1806302338698,2.90702257719443e-05,0.00329947062511568
ERVLE_8q24.3h,19.6036629968286,1.51663091755138,0.367942962298695,4.12191853888533,3.75730074804191e-05,0.00401368126967301
HARLEQUIN_Yq11.21,14.257292183756,2.33921116018685,0.580803138352707,4.0275456617218,5.63621238597386e-05,0.00568631205162696
MER4B_5q13.3,10.6822900536132,-1.4482391997132,0.366398129256023,-3.95263808429882,7.72942982169833e-05,0.00738770766116008
HERVH48_2p25.1,21.5747160780434,1.40931854088246,0.358312780925778,3.93320756586239,8.38197976273093e-05,0.00744728728185229
ERVLE_10q26.3d,5.41862652381264,2.40794721231339,0.613224233892217,3.92669936905432,8.6119511519217e-05,0.00744728728185229
ERVLB4_12q21.1b,6.64792649464737,1.76404340722074,0.451744402391116,3.90495908279887,9.42413290888093e-05,0.00751221322362007
